3001,,?,Cat. in Job,"Chester Beatty Library, W 136",Dublin,Ireland
3002,,13th century,Mac. III-IV,Cod. gr. 1342,Sinai,Egypt
3003,,12th century,Cat. in. Job,"Bodleian Library, Holkham Gr. 65",Oxford,U. Kingdom
3004,,XVIE,Cat. in Job,"Bibl. Univ., 32 (1-2-1)",Salamanca,Spain
3005,,9th/10th century,Cat. in Job,"Bibl. Durazzo - Giustiniani, A I. 10.",Genoa,Italy
3006,,11th century,Cat. in Job,Cod. gr. 3,Sinai,Egypt
3007,,1510,"Cat. in Eccl., Cant and Job",Cod. gr. 311,Sinai,Egypt
3008,,12th/13th century,Cat. in Job,"Вατοπαιδίου, 590",Mount Athos,Greece
3009,,XVI<E>,"Cat. in Jer., Ez., Hab., Is and in Dan.","Vatican Library, Pii. II 18",Vatican City,
3010,,7th/8th century,Libri sap.,"Nat. Bibl., Cod. C.V.25 c. 53, Palimpsest",Turin,Italy
3011,,???,Libri sap.,Vallic. gr. E 21,Rome,Italy
3012,,???,Libri sap.,Coll. gr. 7,Rome,Italy
3013,,10th century,parts of Exod.-Lev.,"Bodleian Library, T. 4. 21, Palimpsest",Oxford,U. Kingdom
