
1401,,13th century,Ps.Od.,"Άγιας, 6",Andros,Greece
1402,,15th century,Ps.Od.,"Άγιας, 10",Andros,Greece
1403,,14th century,Ps.Od.,"Νικολάου, 26",Andros,Greece
1404,,16th century,Ps.,"Νικολάου, 27",Andros,Greece
1405,,15th century,Ps.Od.,"Abgeordnetenhaus, 104",Athens,Greece
1406,,14th century,Cat. in Ps.Od.,"EBE, 8",Athens,Greece
1407,,1535,Ps.Od.,"EBE, 12",Athens,Greece
1408,,15th century,Ps.,"EBE, 14",Athens,Greece
1409,,14th century,Ps.,"EBE, 15",Athens,Greece
1410,,15th century,Ps.,"EBE, 16",Athens,Greece
1411,,1577,Ps.,"EBE, 18",Athens,Greece
1412,,16th century,Ps.Od.,"EBE, 19",Athens,Greece
1413,,1493,Ps.Od.,"EBE, 122",Athens,Greece
1414,,1550,Ps.,"EBE, 23",Athens,Greece
1415,,14th century,Ps.Od.,"EBE, 26",Athens,Greece
1416,,1578,Ps.Od.,"EBE, 32",Athens,Greece
1417,,14th century,Ps.,"EBE, 33",Athens,Greece
1418,,1543,Ps.Od.,"EBE, 34",Athens,Greece
1419,,16th century,Ps.Od.,"EBE, 35",Athens,Greece
1420,,13th century,Cat. in Ps.,"EBE, 45",Athens,Greece
1421,,15th century,Ps.,"EBE, 48",Athens,Greece
1422,,15th century,Ps.,"EBE, 49",Athens,Greece
1423,,16th century,Ps.,"EBE, 50",Athens,Greece
1424,,14th century,Ps.,"EBE, 51",Athens,Greece
1425,,16th century,Ps.,"EBE, 55",Athens,Greece
1426,,13th/16th century,Ps. 148-150; Od. 8,"BnF, Copt. 68",Paris,Francia
1427,,13th century,Ps. 44:13-17,"BnF, Copt. 12919, Bl. 65",Paris,Francia
1428,,14th century,Ps. 135 and 150,"Kopt. Mus., Inv. 20",Cairo,Egypt
1429,,13th century,Ps.Od.,"Вατοπαιδίου, 762",Mount Athos,Greece
1430,,13th century,Ps.,"Γρηγορίου, 4",Mount Athos,Greece
1431,,16th century,Cat. Nicetae in Ps.,"Γρηγορίου, 5",Mount Athos,Greece
1432,,13th century,Ps.,"Διονυσίου, 33;RBN Gr. 270?",Mount Athos;Petersburg,Greece;Russia
1433,,13th century,Ps.,"Διονυσίου, 60",Mount Athos,Greece
1434,,c. 1312,Ps.,"Διονυσίου, 65",Mount Athos,Greece
1435,,13th century,Cat. in Ps.,"Διονυσίου, 114",Mount Athos,Greece
1436,,16th century,Ps.,"Διονυσίου, 226",Mount Athos,Greece
1437,,1487,Ps.,"Διονυσίου, 385",Mount Athos,Greece
1438,,1571,Ps.,"Διονυσίου, 389",Mount Athos,Greece
1439,,16th century,Ps.,"Διονυσίου, 391",Mount Athos,Greece
1440,,1498,Ps.,"Διονυσίου, 394",Mount Athos,Greece
1441,,16th century,Ps.,"Διονυσίου, 397",Mount Athos,Greece
1442,,16th century,Ps.,"Διονυσίου, 398",Mount Athos,Greece
1443,,1546,Ps.,"Διονυσίου, 431",Mount Athos,Greece
1444,,16th century,Ps.Od.,"Διονυσίου, 602",Mount Athos,Greece
1445,,14th century,Ps.,"Δοχειαρείου, 50",Mount Athos,Greece
1446,,13th century,Ps.,"Δοχειαρείου, 53",Mount Athos,Greece
1447,,16th century,Ps.,"Δοχειαρείου, 144",Mount Athos,Greece
1448,,15th century,Ps.,"Δοχειαρείου, 145",Mount Athos,Greece
1449,,13th century,Ps. fragm.,"Έσφιγμένου, 27",Mount Athos,Greece
1450,,13th century,Cat. in Ps.,"Έσφιγμένου, 73",Mount Athos,Greece
1451,,1558,Ps.,"Έσφιγμένου, 188",Mount Athos,Greece
1452,,16th century,Ps.,"Έσφιγμένου, 196",Mount Athos,Greece
1453,,15th century,Ps.,"Έσφιγμένου, 200",Mount Athos,Greece
1454,,16th century,Ps.,"Ζωγράφου, 2",Mount Athos,Greece
1455,,13th century,Ps.,"Ήλίου, 1",Mount Athos,Greece
1456,,13th century,Ps.Od.,"Ίβήρων, 58",Mount Athos,Greece
1457,,13th century,Ps.Od.,"Ίβήρων, 74",Mount Athos,Greece
1458,,16th century,Ps.,"Ίβήρων, 503",Mount Athos,Greece
1459,,14th century,Ps.,"Ίβήρων, 554",Mount Athos,Greece
1460,,16th century,Ps.,"Ίβήρων, 559",Mount Athos,Greece
1461,,14th century,Ps. fragm.,"Ίβήρων, 612",Mount Athos,Greece
1462,,16th century,Ps.,"Ίβήρων, 626",Mount Athos,Greece
1463,,15th century,Ps.,"Ίβήρων, 627",Mount Athos,Greece
1464,,1550,Ps.,"Ίβήρων, 631",Mount Athos,Greece
1465,,15th century,Ps.,"Ίβήρων, 633",Mount Athos,Greece
1466,,16th century,Ps.,"Ίβήρων, 773",Mount Athos,Greece
1467,,15th century,Ps.,"Ίβήρων, 774",Mount Athos,Greece
1468,,1518,Ps.,"Ίβήρων, 809",Mount Athos,Greece
1469,,15th century,Ps.,"Ίβήρων, 815",Mount Athos,Greece
1470,,15th century,Ps.,"Ίβήρων, 830",Mount Athos,Greece
1471,,1548,Ps.,"Ίβήρων, 846",Mount Athos,Greece
1472,,16th century,Ps.,"Ίβήρων, 877",Mount Athos,Greece
