
1266,,11th/12th century,Cat. in Ps.,"Λαύρα, 203 (Β 83)",Mount Athos,Greece
1267,,11th century,Ps.Od.,"Λαύρα, 421 (Δ 45)",Mount Athos,Greece
1268,,12th century,Ps.Od.,"Staatsarchiv., A 246. Nr. 20 I-III",Bamberg,Germany
1269,,11th century,Ps.Od.,"Univ.-Bibl., B. XI. 25",Basel,Switzerland
1270,,XA,Cat. in Ps.,"Bibl. Acad. Rom. 931;Patr.-Bibl., Καμαρ. 9",Bucharest;Istanbul,Romania;Turkey
1271,,1105,Ps.Od.,"Houghton Libr., gr. 3",Cambridge (USA),United States
1272,,12th century,Ps.Od.,Phillipps 6565,Cheltenham,U. Kingdom
1273,,12th century,Ps.Od.,"Slg. Willoughby, s.n.",Chicago,United States
1274,,XII (1232),Ps.Od.,"Duke Univ. Libr., Ms. Gr. 17",Durham,United States
1275,,10th century,Ps.Od.,"Μονή Όλυμπ., 30 + 128",Elassona,Greece
1276,,X (P X/XI),Ra. Comm / Parp. Cat. in Ps.Od.,A. γ. VI,Grottaferrata,Italy
1277,,11th century,Ps.Od.,"BL, Add. 40731",London,U. Kingdom
1278,,11th/12th century,Ps.Od.,"BL, Add. 40753",London,U. Kingdom
1279,,11th century,Ps.,"BL, Add. 61891, Bl. 43-44",London,U. Kingdom
1280,,12th century,Ps.Od.,"R. Staats-Bibl., Φ. 270 (Sevastianov) 2 (467)",Moscow,Russia
1281,,12th century,Ps. fragm.,"R. Staats-Bibl., Φ. 270 (Sevastianov) 72 (528) Nr. 5",Moscow,Russia
1282,,?,Ps. fragm.,"R. Staats-Bibl., Φ. 270 (Sevastianov) 73 (529) Nr. 1",Moscow,Russia
1283,,c. 900,Cat. in Ps.Od.,"YBR, 249",New Haven,United States
1284,,12th century,Ps.Od.,"MMA, 2001.730",New York,United States
1285,,XIIA,Ps.Od.,"Publ. Bibl., Spencer gr. 1",New York,United States
1286,,11th century,Cat. in Ps.Od.,"Antiqu. Baer, Cat. 750, Nr. 819, NLH Nr. I",?,
1287,,11th century,Ps.Od.,"private collections of B. S. Cron, Ms. 4, NLH Nr. III",London,U. Kingdom
1288,,12th century,Ps. fragm.,"Bibl. RAdW, RAIK 7",Petersburg,Russia
1289,,11th/12th century,Ps.Od. fragm.,"RAdW Inst. Or., C. 686",Petersburg,Russia
1290,,12th century,Ps.Od.,"RAdW Inst. Or., B No 1215",Petersburg,Russia
1291,,9th century,Ps. fragm.,"RBN, Gr. 216, Bl. 347f.",Petersburg,Russia
1292,,12th century,Ps. fragm.,"RBN, Gr. 229, Bl. 104-118",Petersburg,Russia
1293,,12th century,Ps.Od.,gr. 663,Petersburg,Russia
1294,,10th century,Ps. fragm.,gr. 768,Petersburg,Russia
1295,,11th century,Ps.Od.,"Free Libr., Lewis 189",Philadelphia,United States
1296,,12th century,Ps.Od.,"Art Mus., y 1930-20",Princeton,United States
1297,,12th century,Ps.Gall. greco-latini;,"Vatican Library, Vat. lat. 81 (= Fischer 263)",Vatican City,
1298,,11th/12th century,Ps.,"Kath.-Bibl., 105",Samos,Greece
1299,,(11th/12th century) 1242,Ps.Od.,Cod. gr. 2054,Sinai,Egypt
1300,,8th/9th century,Ps.Od.,"Neue Slg., ΜΓ 16",Sinai,Egypt
