7001,,13th century,Ps.Od.,"Patr.-Bibl., Καμαρ. 3",Istanbul,Turkey
7002,,1506,Ps.Od.,"Patr.-Bibl., Καμαρ. 71",Istanbul,Turkey
7003,,1298,Ps.Od.,"Patr.-Bibl., Καμαρ. 134",Istanbul,Turkey
7004,,1597,Ps.Od.,"Patr.-Bibl., Καμαρ. 135",Istanbul,Turkey
7005,,1305,Ps.Od.,"Patr.-Bibl., Τριάδος 19",Istanbul,Turkey
7006,,16th century,Ps.Od.,"Patr.-Bibl., Τριάδος 20",Istanbul,Turkey
7007,,15th century,Od.Ps.,"Patr.-Bibl., Τριάδος 21",Istanbul,Turkey
7008,,1341,Ps.Od.,"Patr.-Bibl., Τριάδος 22",Istanbul,Turkey
7009,,???,Ps.Od.,"Patr.-Bibl., Τριάδος 23",Istanbul,Turkey
7010,,13th century,Ps.Od.,"Patr.-Bibl., Θεολ. Σχολή 10",Istanbul,Turkey
7011,,16th century,Ps.,Μονή Κορ. 36,Karditsa,Greece
7012,,16th century,Ps.,Μονή Κορ. 44,Karditsa,Greece
7013,,16th century,Ps.,Μονή Κορ. 57,Karditsa,Greece
7014,,16th century,Ps.Od.,"Kath.-Bibl., 15",Kastoria,Greece
7015,,13th/14th century,Ps.<Od.>,"Βιβλ. Μητρ., 37",Larnaca,Cyprus
7016,,15th century,Ps.,"Μ. Άγιας Τριάδος, 68",Meteora,Greece
7017,,16th century,Ps.Od.,"Μ. Άγιας Τριάδος, 77",Meteora,Greece
7018,,16th century,Ps.Od.,"Μ. Βαρλαάμ, 36",Meteora,Greece
7019,,15th century,Ps.Od.,"Μ. Βαρλαάμ, 37",Meteora,Greece
7020,,16th century,Ps.Od.,"Μ. Βαρλαάμ, 39",Meteora,Greece
7021,,15th century,Ps.Od.,"Μ. Βαρλαάμ, 40",Meteora,Greece
7022,,16th century,Ps.Od.,"Μ. Βαρλαάμ, 41",Meteora,Greece
7023,,1546,Ps.Od.,"Μ. Μεταμορφώσεως, 4",Meteora,Greece
7024,,1348,Ps.Od.,"Μ. Μεταμορφώσεως, 11",Meteora,Greece
7025,,1524,Ps.Od.,"Μ. Μεταμορφώσεως, 58",Meteora,Greece
7026,,16th century,Ps.Od.,"Μ. Μεταμορφώσεως, 61",Meteora,Greece
7027,,14th century,Ps.Od.,"Μ. Μεταμορφώσεως, 80",Meteora,Greece
