901,,7th century,Gen. 5:10-13.28-30 fragm.,"Ägyptisches Museum, P. 6770",Berlin,Germany
902,,4th century,Is. 36:16-20; 37:1-6 fragm.,"Ägyptisches Museum, P. 6772",Berlin,Germany
903,,3rd/4th century,Gen. 27:29-30.37-39; 28:1-5 fragm.,"Ägyptisches Museum, P. 9778",Berlin,Germany
904,,4th century,Is. 49:16-18 fragm.,"Ägyptisches Museum, P. 13422",Berlin,Germany
905,P. Oxyrhynchus 656,2nd/3rd century,"fragments of Genesis 14:21-23, 15:5-9, 19:32-20:11, 24:28-47, 27:32,33,40,41","Bodleian Library, Ms. Gr. Bibl. d 5",Oxford,U. Kingdom
906,P. Oxyrhynchus 846,6th century,Amos 2:6-12,"The University Museum, E 3074",Philadelphia,United States
907,P. Oxyrhynchus 1007,3rd century,Genesis 2:7-9.16-19.23 - 3:1.6-8,"BL, Inv. 2047",London,U. Kingdom
908,,3rd century,Exod. 31:13-14; 32:7-8 fragm.,P.Oxy. 1074,Oxyrhynchus,
909,Papyrus 909 (Rahlfs),3rd/4th century,Exodus 40:26 the end of the chapter,"BL, Inv. 2053v",London,U. Kingdom
910,,6th century,Tob. 2:2-5:8,P.Oxy. 1076,Oxyrhynchus,
911,,III,Genesis 1:16-38:5 (with gaps),"Inst. Arch. UW, P.Berlin G 2a-17b, u 46-61",Warsaw,Poland
912,Papyrus 12,3rd century,Genesis 1:1-5 sec. o' and a',"Morgan Library & Museum, Pap. Gr. 3; P. Amherst 3b",New York,United States
913,,6th/7th century,Job 1:15-22; 2:3; 5:24-6:9; 14:1-5.12-14; 25:4-5; 26:5-8 fragm.,"John Rylands Library, Gr. P. 2;BL, P. Inv. Nr. 1859 B;PML, Pap. G. 4, Pap. G. 201, Fragm. 4 and 8",Manchester;London;New York,U. Kingdom;U. Kingdom;United States
914,,6th century,Exod. 19:1-2.5-6 fragm.,"PML, Pap. G. 191, Fragm. 1",New York,United States
915,,6th century,Is. 58:11-14 fragm.,"PML, Pap. G. 191, Fragm. 2",New York,United States
916,,6th century,Deut. 32:3-6.8-11 fragm.,"PML, Pap. G. 192",New York,United States
917,,6th century,Prov. 10:18-29 fragm.,"PML, Pap. G. 193",New York,United States
918,Codex Dublinensis,6th century,Is. 30:2-31:7; 36:17-38:1,"Trinity Coll., K. 3. 4",Dublin,Ireland
919,,6th/7th century,Zach. 4-14; Mal. (with gaps),"IfP, P. Heid. Inv. G 600",Heidelberg,Germany
920,,4th century,Deut. 2:37-3:1.3-5.8-10.12-13 fragm.,"John Rylands Library, P. Gr. 1",Manchester,U. Kingdom
921,,4th/5th century,Bel and Dr. 20-41 fragm.,"Bodleian Library, Gr. bibl. d. 2 (P)",Oxford,U. Kingdom
922,,3rd/4th century,Ez. 5:12-6:3 fragm.,"Bodleian Library, Gr. bibl. d. 4 (P)",Oxford,U. Kingdom
923,,4th/5th century,Zach 12:10-11; 13:3-5.,"Bodleian Library, Gr. bibl. e. 4 (P)",Oxford,U. Kingdom
924,,7th/8th century,Cant. 1:6-9 fragm.,"Bodleian Library, Gr. bibl. g. 1 (P)",Oxford,U. Kingdom
925,,4th century,Dan. 1:17-18,"BL, Or. 7594",London,U. Kingdom
926,,7th/8th century,Is. 3:8-14; 5:2-14; 29:11-23; 44:26-28; 45:1-5,RBN Gr. 23,Petersburg,Russia
927,,6th century,Ez. 4:9-5:12; 21:6-17; 28:25-29:19; 39:8-18; 40:13-25 (with gaps),"Vatican Library, Vat. gr. 2519, Bl. 25-32 + 35-38",Vatican City,
928,,3rd century,Prov 5:2-10:18; 19:10-20:9 (with gaps); Sap. 11:19-22; 12:8-11; Sir. 45:14-14.20-22 fragm.,"Sackler Library, P. Ant. 8 + 210",Oxford,U. Kingdom
929,,6th/7th century,Sir. prol.19-3:11 fragm.,"Patr.-Bibl., Τάφου 2, Bl. 56 and 27",Jerusalem,Israel
930,,7th? century,Mac. IV 8:5-6.12-13.15.29; 9:28-32,RBN Gr. 225 (połączony),Petersburg,Russia
931,,4th century,Lev. 22:3-23:22,Haris Nr. 15,Sinai,Egypt
932,,4th century,Jg. 20:22-26.28; Ruth 2:19-23; 3:1-7,Haris Nr. 2 and 3,Sinai,Egypt
933,,7th century,Num. 32:29-30,Haris Nr. 1,Sinai,Egypt
934,,4th/5th century,Reg. II 15:34-16:5 fragm.,"BNU, Pap. Gr. 911 + 1027",Strasbourg,Francia
935,,4th century,Gen. 37:35; 38:1.5.9 fragm.,"BSB, gr. 610 Nr. 1",Munich,Germany
936,,5th century,Lev. 1:14-15; 2:10-12 fragm.,"BSB, gr. 610 Nr. 2",Munich,Germany
937,,7th century,Jg. 5:8-12,"BSB, gr. 610 Nr. 3",Munich,Germany
938,,5th century,Sir. 42:17-19 fragm.,"ÖNB, P. Vindob. G 26782",Vienna,Austria
939,,6th/7th century,Gen. 40:3-4.6-7; 41:8.10-12.39-41.43-44 fragm.,"Univ. Libr., Or. 1287;Ertzabtei. Vitr. 46",Cambridge;Beuron,U. Kingdom;Germany
940,,8th century,Gen. 21:12-22:5; 24:15-44 fragm.,"BnF, Gr. 1397.2, Bl. 9-10 + 14-15",Paris,Francia
941,,7th century,"Od. 1 (Exod. 15), 1-19 short; Od. 3 (Reg. I 2), 1","IfP, P. Heid. Inv. G 1362",Heidelberg,Germany
942,Papyrus Fouad 266,2nd/1st century BCE,Genesis 3:10-12; 4:5-7.23; 7:17-20; 37:34-38:1; 38:10-12,"Sociandé Royale de Papyrologie, Gr. P. 458",Cairo,Egypt
943,Se2grXII(LXXIEJ 12),1st century,fragments of minor prophets,"Rockefeller Museum, Gr. Se2grXII",Jerusalem,Israel
943a,8HevXII a(LXXVTS 10a),1st century,fragments of minor prophets,"Rockefeller Museum, 8HevXII a",Jerusalem,Israel
943b,8HevXII b(LXXVTS 10b),1st century,Zechariah 8:18-9:7,"Rockefeller Museum, 8HevXII b",Jerusalem,Israel
944,,3rd century,Gen. 6:8-12 fragm.,P.Oxy. 1166,Oxyrhynchus,
945,,4th century,Gen. 31:42-53 fragm.,P.Oxy. 1167,Oxyrhynchus,
946,,4th century,Jos 4:23-24; 5:1 fragm.,P.Oxy. 1168,Oxyrhynchus,
947,,4th century,Lev. 16:33-34 fragm.,P.Oxy. 1225,Oxyrhynchus,
948,,3rd century,Is. 38:3-5.13-16 fragm.,"ÖNB, P. Vindob. G 2320",Vienna,Austria
949,,4th/5th century,Gen. 38:23.25.28-29; 39:1; 40:1-3.11-12 fragm.,"ÖNB, P. Vindob. G 39769 a, b, c",Vienna,Austria
950,,4th/5th century,Sap. 1:1-2.6-8 fragm.,"ÖNB, P. Vindob. G 39770",Vienna,Austria
951,,5th century,Jer. 12:9-10.14-16 fragm.,"ÖNB, P. Vindob. G 39771",Vienna,Austria
952,,3rd/4th century,Cant. 5:12-6:11,"BL, P. Inv. Nr. 2486, Bl. 1;SBO, P. Monts./II Inv. 84",London;Montserrat,"U. Kingdom;,"
953,,c. 300,Gen. 46:28-32; 47:3-5,"BL, P. Inv. Nr. 2557",London,U. Kingdom
954,,4th century,Lev. 12:15-16.19-20.24 fragm.,P.Oxy. 1351,Oxyrhynchus,
955,,4th century,Job 1:19-2:1.6-9b fragm.,"Laurentian Library, PSI 1163",Florence,Italy
956,,4th century,Jon. 1:10-4:1,"Laurentian Library, PSI 1164;Ägyptisches Museum, P. 16354",Florence;Berlin,Italy;Germany
957,Papyrus Rylands 458,2nd century BCE,Deut 23:24(26)-24:3; 25:1-3; 26:12; 26:17-19; 28:31-33; 27:15; 28:2,"John Rylands Library, Gr. P. 458",Manchester,U. Kingdom
958,,4th century,Gen. 26:13-14; Deut. 28:8.11; Par. II 1:12; Is. 42:3-4; 52:15-53:3.6-7.11-12; 66:18-19 fragm.,"John Rylands Library, Gr. P. 460;Univ.-Bibl., P. Inv. 22a/b",Manchester;Oslo,U. Kingdom;Norway
959,,4th/5th century,Gen. 13:3-6.8-9 fragm.,"Ägyptisches Museum, P. 16353",Berlin,Germany
[960]missing,,5th/6th century,Exod. 23:10-13; 31:12-13 fragm.,"Ägyptisches Museum, P. 13994",Berlin,Germany
961,,4th century,Gen. 9:1-15:14; 17:7-44:22 fragm.,"Chester Beatty Library, P. Ch. Beatty IV",Dublin,Ireland
962,,III<E>,Gen. 8:13-9:2; 24:13-25:21; 30:20-35:16; 39:3-40:13; 41:9-46:33 fragm.,"Chester Beatty Library, P. Ch. Beatty V",Dublin,Ireland
963,,II<E>,Num. 5:12-8:19; 13:4-6.17-18; 25:5-36:13; Deut. 1:20-7:20; 9:26-12:17; 18:22-19:16; 27:6-32:14 with gaps,"Chester Beatty Library, P. Ch. Beatty VI;UML, P. Mich. Inv. 5554",Dublin;Ann Arbor,Ireland;United States
964,,4th century,Sir. 36:28-37:23; 46:6-11; 46:16-47:2 fragm.,"Chester Beatty Library, P. Ch. Beatty XI",Dublin,Ireland
965,,3rd century,Is. 8:18-19:13; 38:14-45:5; 54:1-60:22 with gaps,"Chester Beatty Library, P. Ch. Beatty VII + P. Merton 2;Laurentian Library, PSI 1273",Dublin;Florence,Ireland;Italy
966,,2nd/3rd century,Jer. 4:30-5:1.9-14.23-24 fragm.,"Chester Beatty Library, P. Ch. Beatty VIII",Dublin,Ireland
967,Papyrus 967,c. 200 CE,"Ezechiel, Daniel (prehexaplaric version LXX), Ester with gaps","Chester Beatty Library, P. Ch. Beatty IX + X;IfA, P.Colon. theol. 3-40;CSIC, P.Matr. bibl. 1;SBO, P. Monts./II Inv. 42, 43;Univ. Libr., John H Scheide P. 3",Dublin;Cologne;Madrid;Montserrat;Princeton,Ireland;Germany;Spain;.United States
968,,3rd century,Jg 1:10-19,"Laurentian Library, PSI 127",Florence,Italy
[969]destroyed,,6th/7th century,"Prov. 31:2.6-7; Eccl. 5:4, 2:17, 4:17-5:1, 3:11, 4:1-3","Laurentian Library, PSI 1297",Florence,Italy
970,,2nd century,Exod 8:3.5-20; Deut. 28:36-39; 29:15-26.28; 30:5-7 fragm.,"IfP, P. Heid. Inv. G 8 + 1020a",Heidelberg,Germany
971,,3rd century,Par. II 24:17-24,"BL, P. Egerton 4",London,U. Kingdom
972,,4th century,Exod. 29:21-24 fragm.,"Univ. Statale, Pap. gr. 22",Milan,Italy
973,,4th/5th century,Is. 21:3-22:1 fragm.,"John Rylands Library, P. Gr. 459",Manchester,U. Kingdom
974,,c. 220,Job. 33:23-24; 34:10-15 fragm.,"Ägyptisches Museum, P. 11778v",Berlin,Germany
{975}locked,,,see item 956,"Ägyptisches Museum, P. 16354",Berlin,Germany
976,,7th century,Is. 25:4-9 fragm.,"Ägyptisches Museum, P. 3603",Berlin,Germany
977,,5th/6th century,Gen. 29:17-21 fragm.,"Ägyptisches Museum, P. 16989",Berlin,Germany
978,,4th century,Exod. 34:18-20,"Ägyptisches Museum, P. 16990",Berlin,Germany
979,,5th/6th century,Prov. 23:26-27.31-32 fragm.,"Ägyptisches Museum, P. 16991",Berlin,Germany
