312,,12th century,Mac. IV,"Άγιας, 94",Andros,Greece
313,,11th century,Cat. in Oct. and Reg.,"EBE, 43",Athens,Greece
314,,13th century,"Oct., Reg., Par., Esdr., Est., Idt., Tob.","EBE, 44",Athens,Greece
315,,13th century,"Sir., Cant.","EBE, 329",Athens,Greece
316,,11th century,Mac. IV,"Staatsbibl., Graec. fol. 17",Berlin,Germany
317,,11th century,Mac. IV,"Вατοπαιδίου, 84",Mount Athos,Greece
318,,10th/11th century,"Oct., Est., Idt., Tob., Reg.","Вατοπαιδίου, 598",Mount Athos,Greece
319,,1021,"Oct., Est., Tob., Idt.","Вατοπαιδίου, 600",Mount Athos,Greece
320,,12th century,Cat. in Lev.-Ruth,"Вατοπαιδίου, 602",Mount Athos,Greece
321,,14th century,"Exod.-Ruth, Par.","Вατοπαιδίου, 603",Mount Athos,Greece
322,,12th century,Mac. IV,"Διονυσίου, 54",Mount Athos,Greece
323,,14th century,Dan.,"Διονυσίου, 159",Mount Athos,Greece
324,,15th century,Dan.,"Διονυσίου, 167",Mount Athos,Greece
325,,14th century,Mac. IV,"Διονυσίου, 181",Mount Athos,Greece
326,,16th century,Cant.,"Διονυσίου, 282",Mount Athos,Greece
327,,1577,Cant.,"Έσφιγμένου, 131",Mount Athos,Greece
328,,11th century,Cat. in Jos-Ruth and. in Reg.,"Ίβήρων, 15",Mount Athos,Greece
329,,13th century,Cat. Procopii in Prov.,"Ίβήρων, 38",Mount Athos,Greece
330,,13th century,Cant.,"Ίβήρων, 76",Mount Athos,Greece
331,,1452,Cant.,"Ίβήρων, 80",Mount Athos,Greece
332,,15th century,"Tob., Job. Est., Mac. I-IV","Ίβήρων, 165",Mount Athos,Greece
333,,10th century,Cat. Procopii in Prov.,"Ίβήρων, 379",Mount Athos,Greece
334,,1514,"Ruth, Reg.","Ίβήρων, 382",Mount Athos,Greece
335,,15th century,Mac. IV,"Ίβήρων, 396",Mount Athos,Greece
336,,14th century,"Job, Prov., Eccl., Cant., Wis., Sir., Ps.Sal.","Ίβήρων, 555",Mount Athos,Greece
337,,14th century,"Job, Eccl.","Ίβήρων, 615",Mount Athos,Greece
338,,14th century,Cat. in Prov. and Eccl.,"Ίβήρων, 676",Mount Athos,Greece
