1801,,15th century,Ps.Od.,"Vatican Library, Vat. gr. 1952",Vatican City,
1802,,14th century,Ps.Od.,"Vatican Library, Vat. gr. 2012",Vatican City,
1803,,13th century,Ps.Od.,"Vatican Library, Vat. gr. 2263",Vatican City,
1804,,13th century,Ps.,"Vatican Library, Vat. gr. 2296I, Bl. 9-50",Vatican City,
1805,,12th/13th century,Ps. fragm.,"Vatican Library, Vat. gr. 2296II, Bl. 111-114",Vatican City,
1806,,12th/13th century,Ps.,"Vatican Library, Vat. gr. 2296II, Bl. 115-146",Vatican City,
1807,,paper,Cat. in Ps.,Henneberg. Gymn.,Schleusingen,Germany
1808,,perg.,Ps.,"EBE, 2485",Athens,Greece
1809,,perg.,Ps.,"EBE, 2415",Athens,Greece
1810,,perg.,Ps.,"EBE, 2494",Athens,Greece
1811,,?,Ps.,Cod. gr. 22,Sinai,Egypt
1812,,14th century,Cat. in Ps.,Cod. gr. 23,Sinai,Egypt
1813,,1452,Cat. in Ps.Od.,Cod. gr. 27,Sinai,Egypt
1814,,13th/14th century,Ps.Od.,"Cod. gr. 38;RBN, Gr. 269",Sinai;Petersburg,Egypt;Russia
1815,,14th century,Ps.Od.,Cod. gr. 40,Sinai,Egypt
1816,,?,Ps.,Cod. gr. 43,Sinai,Egypt
1817,,14th/15th century,Ps.Od.,Cod. gr. 46,Sinai,Egypt
1818,,12th century,Ps.Od.,"Cod. gr. 47 + Neue Slg., Μ 125",Sinai,Egypt
1819,,?,Ps.,Cod. gr. 49,Sinai,Egypt
1820,,?,Ps.,Cod. gr. 50,Sinai,Egypt
1821,,15th century,Ps.Od.,Cod. gr. 51,Sinai,Egypt
1822,,12th/13th century,Ps.Od.,Cod. gr. 52,Sinai,Egypt
1823,,14th century,Ps.,Cod. gr. 53,Sinai,Egypt
1824,,13th century,Ps.Od.,Cod. gr. 54,Sinai,Egypt
1825,,1344,Ps.Od.,"Cod. gr. 55;RBN, Gr. 272",Sinai;Petersburg,Egypt;Russia
1826,,13th century,Ps.Od.,Cod. gr. 58,Sinai,Egypt
1827,,c. 1273,Ps.Od.,Cod. gr. 61,Sinai,Egypt
1828,,13th century,Ps.,Cod. gr. 62,Sinai,Egypt
1829,,13th/14th century,Ps.Od.,Cod. gr. 63,Sinai,Egypt
1830,,13th century,Ps.Od.,Cod. gr. 64,Sinai,Egypt
1831,,13th/14th century,Ps.Od.,Cod. gr. 66,Sinai,Egypt
1832,,13th/14th century,Ps.Od.,Cod. gr. 67,Sinai,Egypt
1833,,16th century,Ps.Od.,Cod. gr. 70,Sinai,Egypt
1834,,1550,Ps.Od.,Cod. gr. 71,Sinai,Egypt
1835,,16th century,Ps.Od.,Cod. gr. 75,Sinai,Egypt
1836,,1565,Ps.,Cod. gr. 87,Sinai,Egypt
1837,,1566,Ps.Od.,Cod. gr. 90,Sinai,Egypt
1838,,1563,Ps.Od.,Cod. gr. 92,Sinai,Egypt
1839,,1293,Ps.Od.,"Cod. gr. 94;RBN, Gr. 391",Sinai;Petersburg,Egypt;Russia
1840,,1532,Ps.Od.,Cod. gr. 95,Sinai,Egypt
1841,,15th century,Ps.Od.,Cod. gr. 96,Sinai,Egypt
1842,,1517,Ps.Od.,Cod. gr. 97,Sinai,Egypt
1843,,1499,Ps.Od.,Cod. gr. 99,Sinai,Egypt
1844,,1534,Ps.Od.,Cod. gr. 101,Sinai,Egypt
1845,,15th century,Ps.Od.,Cod. gr. 102,Sinai,Egypt
1846,,1532,Ps.Od.,Cod. gr. 103,Sinai,Egypt
1847,,16th century,Ps.Od.,Cod. gr. 104,Sinai,Egypt
1848,,1506,Ps.Od.,Cod. gr. 105,Sinai,Egypt
1849,,16th century,Ps.Od.,Cod. gr. 106,Sinai,Egypt
1850,,16th century,Ps.Od.,Cod. gr. 107,Sinai,Egypt
1851,,13th/14th century,Ps.,Cod. gr. 108,Sinai,Egypt
1852,,15th/16th century,Ps.Od.,Cod. gr. 109,Sinai,Egypt
1853,,15th century,Ps.Od.,Cod. gr. 110,Sinai,Egypt
1854,,15th/16th century,Ps.Od.,Cod. gr. 111,Sinai,Egypt
1855,,15th century,Ps.Od.,Cod. gr. 112,Sinai,Egypt
1856,,16th century,Ps.Od.,Cod. gr. 113,Sinai,Egypt
1857,,15th/16th century,Ps.Od.,Cod. gr. 114,Sinai,Egypt
1858,,15th/16th century,Ps.,Cod. gr. 115,Sinai,Egypt
1859,,15th century,Ps.Od.,Cod. gr. 116,Sinai,Egypt
1860,,1544,Ps.Od.,Cod. gr. 117,Sinai,Egypt
