1601,,15th century,Ps.,"Patr.-Bibl., Σάβα 293;RBN, Gr. 393",Jerusalem;Petersburg,Israel;Russia
1602,,?,Cat. in Ps. fragm.,"Patr.-Bibl., Σάβα 308",Jerusalem,Israel
1603,,16th century,Ps.,"Patr.-Bibl., Σάβα 313",Jerusalem,Israel
1604,,16th century,Ps.,"Patr.-Bibl., Σάβα 314",Jerusalem,Israel
1605,,15th century,Ps.,"Patr.-Bibl., Σάβα 317",Jerusalem,Israel
1606,,16th century,Ps.,"Patr.-Bibl., Σάβα 346",Jerusalem,Israel
1607,,15th century,Ps.,"Patr.-Bibl., Σάβα 394",Jerusalem,Israel
1608,,1557,Ps.Od.,"Patr.-Bibl., Σάβα 396;K. öff Bibl, Gr. 392",Jerusalem;Petersburg,Israel;Russia
1609,,13th century,Ps.,"Patr.-Bibl., Σάβα 409",Jerusalem,Israel
1610,,16th century,Ps.,"Patr.-Bibl., Σάβα 435",Jerusalem,Israel
1611,,16th century,Ps.,"Patr.-Bibl., Σάβα 564",Jerusalem,Israel
1612,,16th century,Ps.,"Patr.-Bibl., Σάβα 565",Jerusalem,Israel
1613,,15th century,Ps. fragm.,"Patr.-Bibl., Σάβα 605α",Jerusalem,Israel
1614,,13th century,Ps.,"Patr.-Bibl., Σάβα 608",Jerusalem,Israel
1615,,16th century,Ps. fragm.,"Patr.-Bibl., Σάβα 613",Jerusalem,Israel
1616,,14th century,Ps. fragm.,"Patr.-Bibl., Σάβα 617β",Jerusalem,Israel
1617,,1570,Ps.,"Patr.-Bibl., Σάβα 622;RBN, Gr. 394",JerusalemPetersburg,Israel;Russia
1618,,15th century,Ps.,"Patr.-Bibl., Σάβα 623",Jerusalem,Israel
1619,,16th century,Ps.Od.,"Patr.-Bibl., Σάβα 634",Jerusalem,Israel
1620,,15th century,Ps.,"Patr.-Bibl., Σάβα 636",Jerusalem,Israel
1621,,12th/13th century,Ps.Od.,"Patr.-Bibl., Σάβα 643",Jerusalem,Israel
1622,,1595,Ps.,"Patr.-Bibl., Σάβα 668;RBN, Gr. 395",Jerusalem;Petersburg,Israel;Russia
1623,,13th century,Ps.,"Patr.-Bibl., Σάβα 677",Jerusalem,Israel
1624,,13th/14th century,Ps. fragm.,"Patr.-Bibl., Σάβα 704",Jerusalem,Israel
1625,,14th/15th century,Cat. in Ps.Od.,"Patr.-Bibl., Σταυροὒ 1",Jerusalem,Israel
1626,,15th century,Ps.Od.,"Patr.-Bibl., Σταυροὒ 69",Jerusalem,Israel
1627,,16th century,Ps.Od.,"Patr.-Bibl., Σταυροὒ 81",Jerusalem,Israel
